sub	file	q	arm	psnr	ssim2	butter_n3
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	35	span_chain	37.037	69.583	4.1629
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	35	compact_chain	40.491	70.496	1.9513
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	50	lanczos	39.519	58.110	2.5358
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	50	span_direct	36.700	69.139	4.3257
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	50	compact_direct	40.261	71.312	2.1126
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	50	span_chain	36.910	71.047	4.2927
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	50	compact_chain	40.507	72.229	2.0327
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	75	lanczos	40.267	68.328	2.2984
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	75	span_direct	37.104	73.428	4.3151
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	75	compact_direct	40.807	75.029	1.8505
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	75	span_chain	37.300	74.362	4.2868
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	75	compact_chain	41.041	75.585	1.7997
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	35	lanczos	31.138	24.483	3.2499
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	35	span_direct	31.037	26.923	3.1433
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	35	compact_direct	31.557	26.996	2.9373
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	35	span_chain	31.258	26.953	3.0900
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	35	compact_chain	31.827	26.499	2.8506
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	50	lanczos	32.008	37.161	2.7589
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	50	span_direct	31.713	36.769	2.7373
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	50	compact_direct	32.326	36.451	2.4792
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	50	span_chain	31.847	35.996	2.7176
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	50	compact_chain	32.489	35.052	2.4227
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	75	lanczos	33.474	54.835	2.0627
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	75	span_direct	32.664	49.348	2.3294
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	75	compact_direct	33.493	50.254	1.9249
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	75	span_chain	32.648	48.052	2.3509
renders	itsiken-pmYoy3WaFPU-unsplash.jpg	75	compact_chain	33.507	48.612	1.9168
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	35	lanczos	36.366	46.904	2.7326
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	35	span_direct	32.102	49.253	5.3477
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	35	compact_direct	35.704	51.043	2.9246
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	35	span_chain	31.475	46.713	5.5149
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	35	compact_chain	33.943	49.230	4.3475
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	50	lanczos	37.325	56.913	2.2382
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	50	span_direct	32.125	55.127	5.0267
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	50	compact_direct	35.871	55.609	2.7218
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	50	span_chain	31.647	52.336	5.0116
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	50	compact_chain	34.406	54.393	3.7282
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	75	lanczos	38.943	67.569	1.6553
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	75	span_direct	32.107	61.430	5.3354
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	75	compact_direct	36.384	61.490	2.4594
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	75	span_chain	31.929	59.092	5.1017
textures	anca-gabriela-zosin-bMOnYbmQxHA-unsplash.jpg	75	compact_chain	35.425	60.484	3.0918
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	35	lanczos	21.754	17.029	4.3084
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	35	span_direct	22.212	14.096	4.2775
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	35	compact_direct	22.120	13.360	4.1834
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	35	span_chain	22.258	14.092	4.2816
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	35	compact_chain	22.180	13.655	4.1857
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	50	lanczos	22.202	28.020	3.7886
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	50	span_direct	22.708	24.045	3.7818
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	50	compact_direct	22.586	23.599	3.6925
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	50	span_chain	22.730	23.995	3.7826
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	50	compact_chain	22.625	23.827	3.6816
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	75	lanczos	22.970	43.135	3.1575
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	75	span_direct	23.499	36.729	3.1746
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	75	compact_direct	23.358	37.191	3.1122
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	75	span_chain	23.497	36.666	3.1737
textures	bernd-dittrich-3MdsHe3IIOk-unsplash.jpg	75	compact_chain	23.372	37.313	3.1017
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	35	lanczos	37.542	47.959	2.3264
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	35	span_direct	34.762	55.963	3.5541
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	35	compact_direct	37.539	59.805	2.0601
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	35	span_chain	34.685	57.039	3.4366
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	35	compact_chain	37.139	59.417	2.3068
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	50	lanczos	38.844	59.238	1.8934
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	50	span_direct	34.891	61.243	3.4492
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	50	compact_direct	38.214	65.370	1.7920
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	50	span_chain	34.799	61.096	3.3668
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	50	compact_chain	37.675	63.654	2.0866
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	75	lanczos	40.728	71.116	1.3683
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	75	span_direct	35.305	68.307	3.3921
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	75	compact_direct	39.282	72.647	1.5414
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	75	span_chain	35.224	67.096	3.3652
textures	han-hyunjun-Zd1u_C1BF8A-unsplash.jpg	75	compact_chain	38.784	70.055	1.6958
