sub	file	q	arm	psnr	ssim2	butter_n3
people	anastasia-pivnenko-PRNG6R1nSpQ-unsplash.jpg	50	span_direct	25.614	14.144	4.4685
people	anastasia-pivnenko-PRNG6R1nSpQ-unsplash.jpg	50	compact_direct	26.052	13.619	3.1096
people	anastasia-pivnenko-PRNG6R1nSpQ-unsplash.jpg	50	span_chain	25.598	12.980	4.5015
people	anastasia-pivnenko-PRNG6R1nSpQ-unsplash.jpg	50	compact_chain	26.083	12.164	3.1333
people	anastasia-pivnenko-PRNG6R1nSpQ-unsplash.jpg	75	lanczos	26.426	30.220	2.6920
people	anastasia-pivnenko-PRNG6R1nSpQ-unsplash.jpg	75	span_direct	25.858	25.508	4.2701
people	anastasia-pivnenko-PRNG6R1nSpQ-unsplash.jpg	75	compact_direct	26.301	25.174	2.8289
people	anastasia-pivnenko-PRNG6R1nSpQ-unsplash.jpg	75	span_chain	25.794	24.187	4.3883
people	anastasia-pivnenko-PRNG6R1nSpQ-unsplash.jpg	75	compact_chain	26.313	24.493	2.8563
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	35	lanczos	24.156	19.287	4.1737
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	35	span_direct	24.481	18.395	4.0515
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	35	compact_direct	24.592	18.898	3.8390
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	35	span_chain	24.536	19.007	4.0453
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	35	compact_chain	24.634	19.277	3.8262
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	50	lanczos	24.718	30.972	3.6172
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	50	span_direct	25.051	28.060	3.5825
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	50	compact_direct	25.148	28.403	3.3842
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	50	span_chain	25.071	28.104	3.5860
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	50	compact_chain	25.161	28.326	3.3821
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	75	lanczos	25.646	47.146	2.9609
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	75	span_direct	25.940	41.166	3.0117
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	75	compact_direct	26.014	41.585	2.8539
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	75	span_chain	25.931	40.832	3.0166
people	ashford-marx-5nEMKAK1WQs-unsplash.jpg	75	compact_chain	26.005	41.179	2.8612
screen	archive__details-collection__1440x900__dpr1.png	35	lanczos	31.550	55.576	3.6383
screen	archive__details-collection__1440x900__dpr1.png	35	span_direct	32.398	58.624	5.9761
screen	archive__details-collection__1440x900__dpr1.png	35	compact_direct	33.711	58.328	2.9654
